case_id,timestamp,activity,usuario,recurso
case_001,2026-07-27 08:30:00,Login,usuario_01,
case_001,2026-07-27 08:32:00,Acesso_Arquivo_Sensivel,usuario_01,relatorio_financeiro_Q2.xlsx
case_001,2026-07-27 08:34:00,Logout,usuario_01,
case_002,2026-07-27 08:55:00,Login,usuario_02,
case_002,2026-07-27 08:57:00,Acesso_Arquivo_Sensivel,usuario_02,dados_cadastrais_clientes.csv
case_002,2026-07-27 08:59:00,Logout,usuario_02,
case_003,2026-07-27 09:20:00,Login,usuario_03,
case_003,2026-07-27 09:22:00,Acesso_Arquivo_Sensivel,usuario_03,balancete_2026.xlsx
case_003,2026-07-27 09:24:00,Logout,usuario_03,
case_004,2026-07-27 09:45:00,Login,usuario_04,
case_004,2026-07-27 09:47:00,Acesso_Arquivo_Sensivel,usuario_04,contratos_juridicos.pdf
case_004,2026-07-27 09:49:00,Logout,usuario_04,
case_005,2026-07-27 10:10:00,Login,usuario_05,
case_005,2026-07-27 10:12:00,Acesso_Arquivo_Sensivel,usuario_05,folha_pagamento.xlsx
case_005,2026-07-27 10:14:00,Logout,usuario_05,
case_006,2026-07-27 10:35:00,Login,usuario_06,
case_006,2026-07-27 10:37:00,Acesso_Arquivo_Sensivel,usuario_06,base_leads.csv
case_006,2026-07-27 10:39:00,Logout,usuario_06,
case_007,2026-07-27 11:00:00,Login,usuario_01,
case_007,2026-07-27 11:02:00,Acesso_Arquivo_Sensivel,usuario_01,relatorio_financeiro_Q2.xlsx
case_007,2026-07-27 11:04:00,Logout,usuario_01,
case_008,2026-07-27 11:25:00,Login,usuario_04,
case_008,2026-07-27 11:27:00,Acesso_Arquivo_Sensivel,usuario_04,contratos_juridicos.pdf
case_008,2026-07-27 11:29:00,Logout,usuario_04,
case_009,2026-07-27 11:50:00,Login,usuario_06,
case_009,2026-07-27 11:52:00,Acesso_Arquivo_Sensivel,usuario_06,dados_cadastrais_clientes.csv
case_009,2026-07-27 11:54:00,Logout,usuario_06,
case_010,2026-07-27 12:15:00,Login,usuario_09,
case_010,2026-07-27 12:17:00,Acesso_Arquivo_Sensivel,usuario_09,folha_pagamento.xlsx
case_010,2026-07-27 12:19:00,Logout,usuario_09,
case_011,2026-07-27 12:40:00,Login,usuario_10,
case_011,2026-07-27 12:42:00,Acesso_Arquivo_Sensivel,usuario_10,balancete_2026.xlsx
case_011,2026-07-27 12:44:00,Logout,usuario_10,
case_012,2026-07-27 13:05:00,Login,usuario_11,
case_012,2026-07-27 13:07:00,Acesso_Arquivo_Sensivel,usuario_11,contratos_juridicos.pdf
case_012,2026-07-27 13:09:00,Logout,usuario_11,
case_015,2026-07-28 09:00:00,Login,usuario_03,
case_015,2026-07-28 09:02:00,Acesso_Arquivo_Sensivel,usuario_03,relatorio_financeiro_Q2.xlsx
case_015,2026-07-28 09:04:00,Acesso_Arquivo_Sensivel,usuario_03,balancete_2026.xlsx
case_015,2026-07-28 09:06:00,Acesso_Arquivo_Sensivel,usuario_03,relatorio_financeiro_Q2.xlsx
case_015,2026-07-28 09:08:00,Acesso_Arquivo_Sensivel,usuario_03,balancete_2026.xlsx
case_015,2026-07-28 09:10:00,Logout,usuario_03,
case_013,2026-07-28 10:15:00,Login,usuario_07,
case_013,2026-07-28 10:17:00,Acesso_Arquivo_Normal,usuario_07,manual_interno.pdf
case_013,2026-07-28 10:19:00,Acesso_Arquivo_Sensivel,usuario_07,relatorio_financeiro_Q2.xlsx
case_013,2026-07-28 10:21:00,Logout,usuario_07,
case_016,2026-07-29 11:20:00,Login,usuario_05,
case_016,2026-07-29 11:22:00,Acesso_Negado,usuario_05,pasta_diretoria/
case_016,2026-07-29 11:24:00,Acesso_Arquivo_Sensivel,usuario_05,folha_pagamento.xlsx
case_016,2026-07-29 11:26:00,Logout,usuario_05,
case_014,2026-07-29 14:05:00,Login,usuario_09,
case_014,2026-07-29 14:07:00,Acesso_Arquivo_Normal,usuario_09,comunicado_geral.pdf
case_014,2026-07-29 14:09:00,Acesso_Arquivo_Sensivel,usuario_09,folha_pagamento.xlsx
case_014,2026-07-29 14:11:00,Logout,usuario_09,
case_017,2026-07-30 16:40:00,Login,usuario_11,
case_017,2026-07-30 16:42:00,Acesso_Arquivo_Sensivel,usuario_11,contratos_juridicos.pdf
