case_id,timestamp,activity,usuario,recurso
case_001,2026-07-27 08:30:00,Login,usuario_01,
case_001,2026-07-27 08:32:00,Acesso_Arquivo_Sensivel,usuario_01,relatorio_financeiro_Q2.xlsx
case_001,2026-07-27 08:34:00,Logout,usuario_01,
case_002,2026-07-27 08:50:00,Login,usuario_02,
case_002,2026-07-27 08:52:00,Acesso_Arquivo_Sensivel,usuario_02,dados_cadastrais_clientes.csv
case_002,2026-07-27 08:54:00,Logout,usuario_02,
case_003,2026-07-27 09:10:00,Login,usuario_03,
case_003,2026-07-27 09:12:00,Acesso_Arquivo_Sensivel,usuario_03,credenciais_admin.txt
case_003,2026-07-27 09:14:00,Logout,usuario_03,
case_004,2026-07-27 09:30:00,Login,usuario_04,
case_004,2026-07-27 09:32:00,Acesso_Arquivo_Sensivel,usuario_04,contratos_juridicos.pdf
case_004,2026-07-27 09:34:00,Logout,usuario_04,
case_005,2026-07-27 09:50:00,Login,usuario_05,
case_005,2026-07-27 09:52:00,Acesso_Arquivo_Sensivel,usuario_05,relatorio_financeiro_Q2.xlsx
case_005,2026-07-27 09:54:00,Logout,usuario_05,
case_006,2026-07-27 10:10:00,Login,usuario_01,
case_006,2026-07-27 10:12:00,Acesso_Arquivo_Sensivel,usuario_01,dados_cadastrais_clientes.csv
case_006,2026-07-27 10:14:00,Logout,usuario_01,
case_007,2026-07-27 10:30:00,Login,usuario_06,
case_007,2026-07-27 10:32:00,Acesso_Arquivo_Sensivel,usuario_06,contratos_juridicos.pdf
case_007,2026-07-27 10:34:00,Logout,usuario_06,
case_008,2026-07-27 10:50:00,Login,usuario_02,
case_008,2026-07-27 10:52:00,Acesso_Arquivo_Sensivel,usuario_02,credenciais_admin.txt
case_008,2026-07-27 10:54:00,Logout,usuario_02,
case_009,2026-07-27 11:10:00,Login,usuario_07,
case_009,2026-07-27 11:12:00,Acesso_Arquivo_Sensivel,usuario_07,relatorio_financeiro_Q2.xlsx
case_009,2026-07-27 11:14:00,Logout,usuario_07,
case_010,2026-07-27 11:30:00,Login,usuario_03,
case_010,2026-07-27 11:32:00,Acesso_Arquivo_Sensivel,usuario_03,dados_cadastrais_clientes.csv
case_010,2026-07-27 11:34:00,Logout,usuario_03,
case_011,2026-07-27 11:50:00,Login,usuario_08,
case_011,2026-07-27 11:52:00,Acesso_Arquivo_Sensivel,usuario_08,contratos_juridicos.pdf
case_011,2026-07-27 11:54:00,Logout,usuario_08,
case_012,2026-07-27 12:10:00,Login,usuario_04,
case_012,2026-07-27 12:12:00,Acesso_Arquivo_Sensivel,usuario_04,relatorio_financeiro_Q2.xlsx
case_012,2026-07-27 12:14:00,Logout,usuario_04,
case_013,2026-07-27 12:30:00,Login,usuario_05,
case_013,2026-07-27 12:32:00,Acesso_Arquivo_Sensivel,usuario_05,dados_cadastrais_clientes.csv
case_013,2026-07-27 12:34:00,Acesso_Arquivo_Sensivel,usuario_05,credenciais_admin.txt
case_013,2026-07-27 12:36:00,Logout,usuario_05,
case_014,2026-07-27 12:50:00,Login,usuario_06,
case_014,2026-07-27 12:52:00,Acesso_Arquivo_Normal,usuario_06,manual_operacional.pdf
case_014,2026-07-27 12:54:00,Acesso_Arquivo_Sensivel,usuario_06,relatorio_financeiro_Q2.xlsx
case_014,2026-07-27 12:56:00,Logout,usuario_06,
case_015,2026-07-27 13:10:00,Login_Falha,usuario_09,
case_015,2026-07-27 13:12:00,Login_Falha,usuario_09,
case_015,2026-07-27 13:14:00,Login,usuario_09,
case_015,2026-07-27 13:16:00,Acesso_Arquivo_Sensivel,usuario_09,credenciais_admin.txt
case_015,2026-07-27 13:18:00,Logout,usuario_09,
case_016,2026-07-27 13:30:00,Acesso_Arquivo_Sensivel,usuario_10,dados_cadastrais_clientes.csv
case_016,2026-07-27 13:32:00,Logout,usuario_10,
case_017,2026-07-27 13:50:00,Login,usuario_02,
case_017,2026-07-27 13:52:00,Acesso_Arquivo_Sensivel,usuario_02,contratos_juridicos.pdf
case_018,2026-07-27 14:10:00,Acesso_Arquivo_Sensivel,usuario_11,credenciais_admin.txt
case_018,2026-07-27 14:12:00,Acesso_Arquivo_Sensivel,usuario_11,relatorio_financeiro_Q2.xlsx
case_018,2026-07-27 14:14:00,Logout,usuario_11,
