case_id,timestamp,activity,usuario,host,recurso,tactic,technique_id,technique
case_075,2026-05-05 00:56:40,Logon,usuario_07,WS-07,-,Initial Access,T1078,Valid Accounts
case_075,2026-05-05 00:57:41,Descoberta_Arquivos,usuario_07,WS-07,-,Discovery,T1083,File and Directory Discovery
case_075,2026-05-05 01:02:12,Coleta_Arquivos,usuario_07,WS-07,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_075,2026-05-05 01:03:25,Coleta_Arquivos,usuario_07,WS-07,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_075,2026-05-05 01:06:32,Coleta_Arquivos,usuario_07,WS-07,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_075,2026-05-05 01:09:54,Coleta_Arquivos,usuario_07,WS-07,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_075,2026-05-05 01:11:02,Compactar_Dados,usuario_07,WS-07,-,Collection,T1560,Archive Collected Data
case_075,2026-05-05 01:14:47,Exfiltracao_Web,usuario_07,WS-07,dropbox-externo.com,Exfiltration,T1567,Exfiltration Over Web Service
case_075,2026-05-05 01:18:29,Logoff,usuario_07,WS-07,-,Benigno,-,Uso normal
case_009,2026-05-04 12:27:33,Logon,usuario_12,WS-12,intranet.local,Initial Access,T1078,Valid Accounts
case_009,2026-05-04 12:29:18,Envio_Email,usuario_12,WS-12,intranet.local,Benigno,-,Uso normal
case_009,2026-05-04 12:31:32,Impressao,usuario_12,WS-12,impressora_01,Benigno,-,Uso normal
case_009,2026-05-04 12:36:29,Envio_Email,usuario_12,WS-12,impressora_01,Benigno,-,Uso normal
case_009,2026-05-04 12:39:37,Acesso_Arquivo_Comum,usuario_12,WS-12,-,Benigno,-,Uso normal
case_009,2026-05-04 12:41:51,Logoff,usuario_12,WS-12,impressora_01,Benigno,-,Uso normal
case_013,2026-05-08 13:33:16,Logon,usuario_07,WS-07,impressora_01,Initial Access,T1078,Valid Accounts
case_013,2026-05-08 13:37:10,Acesso_Arquivo_Comum,usuario_07,WS-07,\Users\Public,Benigno,-,Uso normal
case_013,2026-05-08 13:38:01,Acesso_Arquivo_Comum,usuario_07,WS-07,-,Benigno,-,Uso normal
case_013,2026-05-08 13:41:22,Acesso_Arquivo_Comum,usuario_07,WS-07,\\fileserver\comum,Benigno,-,Uso normal
case_013,2026-05-08 13:46:06,Logoff,usuario_07,WS-07,\\fileserver\comum,Benigno,-,Uso normal
case_079,2026-05-05 02:47:12,Logon,usuario_20,WS-20,-,Initial Access,T1078,Valid Accounts
case_079,2026-05-05 02:49:44,Descoberta_Arquivos,usuario_20,WS-20,-,Discovery,T1083,File and Directory Discovery
case_079,2026-05-05 02:50:56,Coleta_Arquivos,usuario_20,WS-20,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_079,2026-05-05 02:52:40,Coleta_Arquivos,usuario_20,WS-20,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_079,2026-05-05 02:53:52,Coleta_Arquivos,usuario_20,WS-20,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_079,2026-05-05 02:55:52,Coleta_Arquivos,usuario_20,WS-20,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_079,2026-05-05 02:59:28,Compactar_Dados,usuario_20,WS-20,-,Collection,T1560,Archive Collected Data
case_079,2026-05-05 03:01:05,Exfiltracao_Web,usuario_20,WS-20,dropbox-externo.com,Exfiltration,T1567,Exfiltration Over Web Service
case_079,2026-05-05 03:02:40,Logoff,usuario_20,WS-20,-,Benigno,-,Uso normal
case_010,2026-05-06 16:03:16,Logon,usuario_08,WS-08,\Users\Public,Initial Access,T1078,Valid Accounts
case_010,2026-05-06 16:06:32,Envio_Email,usuario_08,WS-08,\\fileserver\comum,Benigno,-,Uso normal
case_010,2026-05-06 16:09:50,Acesso_Arquivo_Comum,usuario_08,WS-08,intranet.local,Benigno,-,Uso normal
case_010,2026-05-06 16:10:51,Navegacao_Web,usuario_08,WS-08,\Users\Public,Benigno,-,Uso normal
case_010,2026-05-06 16:12:03,Acesso_Arquivo_Comum,usuario_08,WS-08,\Users\Public,Benigno,-,Uso normal
case_010,2026-05-06 16:16:23,Abrir_Aplicativo,usuario_08,WS-08,\Users\Public,Benigno,-,Uso normal
case_010,2026-05-06 16:19:35,Abrir_Aplicativo,usuario_08,WS-08,\Users\Public,Benigno,-,Uso normal
case_010,2026-05-06 16:24:02,Logoff,usuario_08,WS-08,impressora_01,Benigno,-,Uso normal
case_005,2026-05-07 17:22:17,Logon,usuario_05,WS-05,\Users\Public,Initial Access,T1078,Valid Accounts
case_005,2026-05-07 17:26:17,Acesso_Arquivo_Comum,usuario_05,WS-05,impressora_01,Benigno,-,Uso normal
