case_id,timestamp,activity,usuario,recurso
case_115,2026-03-02 15:02:58,LogonSuccess,usuario_21,C:\temp
case_115,2026-03-02 15:03:26,ProcessCreate,usuario_21,cdn.contoso.com
case_115,2026-03-02 15:04:27,ImageLoad,usuario_21,\Windows\System32
case_115,2026-03-02 15:04:50,NetworkConnect,usuario_21,C:\temp
case_115,2026-03-02 15:05:55,ProcessExit,usuario_21,\Users\Documents
case_115,2026-03-02 15:11:48,ProcessCreate,usuario_21,-
case_115,2026-03-02 15:14:33,ProcessCreate,usuario_21,8.8.8.8
case_115,2026-03-02 15:20:48,ProcessCreate,usuario_21,D:\backup
case_115,2026-03-02 15:25:11,ImageLoad,usuario_21,\Users\Documents
case_115,2026-03-02 15:26:35,ServiceQuery,usuario_21,HKLM\Software
case_115,2026-03-02 15:28:08,FileModify,usuario_21,\Device\Pipe
case_115,2026-03-02 15:30:46,FileModify,usuario_21,update.microsoft.com
case_115,2026-03-02 15:34:56,PowerShellExec,usuario_21,8.8.8.8
case_115,2026-03-02 15:37:18,FileRead,usuario_21,C:\temp
case_115,2026-03-02 15:42:50,FileModify,usuario_21,\Users\Documents
case_115,2026-03-02 15:43:29,FileModify,usuario_21,-
case_115,2026-03-02 15:45:21,RegistryModify,usuario_21,\Users\Documents
case_115,2026-03-02 15:49:56,FileRead,usuario_21,-
case_115,2026-03-02 15:51:01,PowerShellExec,usuario_21,\Device\Pipe
case_115,2026-03-02 15:53:55,ServiceQuery,usuario_21,\\fileserver\financeiro
case_115,2026-03-02 15:57:49,ClipboardCapture,usuario_21,\Windows\System32
case_115,2026-03-02 16:02:54,LogonOff,usuario_21,HKLM\Software
case_056,2026-03-06 15:49:50,LogonSuccess,usuario_12,\Users\Documents
case_056,2026-03-06 15:52:53,ProcessExit,usuario_12,\\fileserver\rh
case_056,2026-03-06 15:53:52,ImageLoad,usuario_12,-
case_056,2026-03-06 15:57:22,NetworkConnect,usuario_12,\Users\Public
case_056,2026-03-06 16:01:59,ProcessCreate,usuario_12,\Device\Pipe
case_056,2026-03-06 16:02:45,ImageLoad,usuario_12,C:\temp
case_056,2026-03-06 16:04:59,DnsQuery,usuario_12,D:\backup
case_056,2026-03-06 16:09:43,ProcessExit,usuario_12,\Windows\System32
case_056,2026-03-06 16:13:28,FileCreate,usuario_12,\Users\Public
case_056,2026-03-06 16:17:46,PipeCreate,usuario_12,\\fileserver\rh
case_056,2026-03-06 16:20:45,ProcessCreate,usuario_12,\\fileserver\financeiro
case_056,2026-03-06 16:21:49,ProcessCreate,usuario_12,update.microsoft.com
case_056,2026-03-06 16:26:02,RegistryModify,usuario_12,\Windows\System32
case_056,2026-03-06 16:29:30,NetworkConnect,usuario_12,HKLM\Software
case_056,2026-03-06 16:32:19,PowerShellExec,usuario_12,-
case_056,2026-03-06 16:35:14,RegistryModify,usuario_12,\Users\Documents
case_056,2026-03-06 16:40:52,FileModify,usuario_12,HKLM\Software
case_056,2026-03-06 16:45:09,PipeCreate,usuario_12,\\fileserver\financeiro
case_056,2026-03-06 16:50:31,FileModify,usuario_12,cdn.contoso.com
case_056,2026-03-06 16:52:31,ScheduledTaskQuery,usuario_12,\Users\Documents
case_056,2026-03-06 16:57:30,LogonOff,usuario_12,D:\backup
case_288,2026-03-04 02:55:51,LogonSuccess,usuario_01,\\fileserver\rh
case_288,2026-03-04 02:57:13,DnsQuery,usuario_01,8.8.8.8
case_288,2026-03-04 02:58:35,ProcessCreate,usuario_01,-
case_288,2026-03-04 03:00:08,ProcessCreate,usuario_01,-
case_288,2026-03-04 03:00:48,FileRead,usuario_01,\\fileserver\financeiro
case_288,2026-03-04 03:01:58,FileRead,usuario_01,\\fileserver\financeiro
case_288,2026-03-04 03:03:51,FileRead,usuario_01,\\fileserver\financeiro
case_288,2026-03-04 03:05:39,NetworkConnect,usuario_01,D:\backup
case_288,2026-03-04 03:05:59,FileRead,usuario_01,\\fileserver\financeiro
case_288,2026-03-04 03:07:12,ArchiveCreate,usuario_01,\Users\Documents
case_288,2026-03-04 03:08:42,ExternalUpload,usuario_01,update.microsoft.com
case_288,2026-03-04 03:09:34,LogonOff,usuario_01,update.microsoft.com
case_029,2026-03-04 09:16:02,LogonSuccess,usuario_24,D:\backup
case_029,2026-03-04 09:16:46,DnsQuery,usuario_24,\Device\Pipe
case_029,2026-03-04 09:19:55,ProcessExit,usuario_24,\\fileserver\rh
case_029,2026-03-04 09:21:18,ProcessCreate,usuario_24,D:\backup
case_029,2026-03-04 09:24:46,FileCreate,usuario_24,8.8.8.8
case_029,2026-03-04 09:28:30,PipeCreate,usuario_24,\Users\Documents
case_029,2026-03-04 09:32:35,PowerShellExec,usuario_24,8.8.8.8
case_029,2026-03-04 09:35:48,DnsQuery,usuario_24,C:\temp
case_029,2026-03-04 09:40:22,RegistryModify,usuario_24,\Users\Documents
case_029,2026-03-04 09:44:56,PowerShellExec,usuario_24,\\fileserver\financeiro
case_029,2026-03-04 09:49:41,PipeCreate,usuario_24,\\fileserver\rh
case_029,2026-03-04 09:50:43,FileRead,usuario_24,\Users\Documents
case_029,2026-03-04 09:54:40,LogonOff,usuario_24,\Users\Public
case_222,2026-03-04 10:32:21,LogonSuccess,usuario_26,cdn.contoso.com
case_222,2026-03-04 10:34:45,FileCreate,usuario_26,\\fileserver\rh
case_222,2026-03-04 10:41:15,ImageLoad,usuario_26,\\fileserver\financeiro
case_222,2026-03-04 10:46:42,FileCreate,usuario_26,\\fileserver\financeiro
case_222,2026-03-04 10:51:09,NetworkConnect,usuario_26,\Device\Pipe
case_222,2026-03-04 10:54:54,ImageLoad,usuario_26,\\fileserver\rh
case_222,2026-03-04 10:55:34,DnsQuery,usuario_26,HKLM\Software
case_222,2026-03-04 11:00:13,DnsQuery,usuario_26,\Users\Public
case_222,2026-03-04 11:04:08,FileModify,usuario_26,8.8.8.8
case_222,2026-03-04 11:06:45,FileRead,usuario_26,-
case_222,2026-03-04 11:10:30,ImageLoad,usuario_26,-
case_222,2026-03-04 11:11:04,ImageLoad,usuario_26,C:\temp
case_222,2026-03-04 11:15:46,RegistryModify,usuario_26,C:\temp
case_222,2026-03-04 11:18:39,FileRead,usuario_26,-
case_222,2026-03-04 11:24:56,FileModify,usuario_26,update.microsoft.com
case_222,2026-03-04 11:26:57,PrintJob,usuario_26,-
case_222,2026-03-04 11:28:28,DriverLoad,usuario_26,C:\temp
case_222,2026-03-04 11:34:27,ClipboardCapture,usuario_26,\\fileserver\financeiro
case_222,2026-03-04 11:35:14,LogonOff,usuario_26,\Users\Public
case_238,2026-03-03 10:42:49,LogonSuccess,usuario_09,\\fileserver\financeiro
case_238,2026-03-03 10:45:51,ProcessExit,usuario_09,8.8.8.8
case_238,2026-03-03 10:47:48,ImageLoad,usuario_09,HKLM\Software
case_238,2026-03-03 10:48:54,ProcessCreate,usuario_09,D:\backup
case_238,2026-03-03 10:53:33,ProcessCreate,usuario_09,\\fileserver\financeiro
case_238,2026-03-03 10:57:57,ProcessCreate,usuario_09,\\fileserver\rh
case_238,2026-03-03 11:02:37,DnsQuery,usuario_09,\Users\Public
case_238,2026-03-03 11:06:50,ServiceQuery,usuario_09,\Windows\System32
case_238,2026-03-03 11:07:13,ServiceQuery,usuario_09,8.8.8.8
case_238,2026-03-03 11:11:08,WmiQuery,usuario_09,8.8.8.8
case_238,2026-03-03 11:12:19,ScheduledTaskQuery,usuario_09,\\fileserver\financeiro
case_238,2026-03-03 11:15:43,WmiQuery,usuario_09,\\fileserver\rh
case_238,2026-03-03 11:16:36,LogonOff,usuario_09,8.8.8.8
case_026,2026-03-04 18:12:58,LogonSuccess,usuario_10,\Users\Public
case_026,2026-03-04 18:17:37,NetworkConnect,usuario_10,D:\backup
case_026,2026-03-04 18:22:33,NetworkConnect,usuario_10,\Users\Documents
case_026,2026-03-04 18:27:22,ProcessExit,usuario_10,\Windows\System32
case_026,2026-03-04 18:33:20,NetworkConnect,usuario_10,\\fileserver\financeiro
case_026,2026-03-04 18:38:56,NetworkConnect,usuario_10,C:\temp
case_026,2026-03-04 18:44:21,FileRead,usuario_10,8.8.8.8
case_026,2026-03-04 18:45:59,PowerShellExec,usuario_10,C:\temp
case_026,2026-03-04 18:47:51,FileModify,usuario_10,\Users\Documents
case_026,2026-03-04 18:53:30,PipeCreate,usuario_10,D:\backup
case_026,2026-03-04 18:55:14,NetworkConnect,usuario_10,\Users\Documents
case_026,2026-03-04 18:59:18,RegistryModify,usuario_10,\Windows\System32
case_026,2026-03-04 19:03:08,FileModify,usuario_10,\\fileserver\financeiro
case_026,2026-03-04 19:09:14,PrintJob,usuario_10,\Users\Documents
case_026,2026-03-04 19:11:35,DriverLoad,usuario_10,cdn.contoso.com
case_026,2026-03-04 19:17:07,ScheduledTaskQuery,usuario_10,\\fileserver\rh
case_026,2026-03-04 19:21:16,LogonOff,usuario_10,HKLM\Software
case_275,2026-03-03 10:05:07,LogonSuccess,usuario_04,HKLM\Software
case_275,2026-03-03 10:06:44,ProcessCreate,usuario_04,\Windows\System32
case_275,2026-03-03 10:11:47,ProcessCreate,usuario_04,-
case_275,2026-03-03 10:14:49,ProcessExit,usuario_04,D:\backup
case_275,2026-03-03 10:17:01,FileCreate,usuario_04,C:\temp
case_275,2026-03-03 10:20:37,ProcessExit,usuario_04,HKLM\Software
case_275,2026-03-03 10:25:34,DnsQuery,usuario_04,-
case_275,2026-03-03 10:26:02,ProcessCreate,usuario_04,C:\temp
case_275,2026-03-03 10:27:08,ProcessCreate,usuario_04,-
case_275,2026-03-03 10:33:47,RegistryModify,usuario_04,-
case_275,2026-03-03 10:36:25,PipeCreate,usuario_04,D:\backup
case_275,2026-03-03 10:40:53,ScreenCapture,usuario_04,\Users\Public
case_275,2026-03-03 10:42:01,LogonOff,usuario_04,HKLM\Software
case_263,2026-03-05 10:17:50,LogonSuccess,usuario_15,C:\temp
case_263,2026-03-05 10:21:58,ImageLoad,usuario_15,\Device\Pipe
case_263,2026-03-05 10:25:33,ProcessExit,usuario_15,update.microsoft.com
case_263,2026-03-05 10:27:13,ImageLoad,usuario_15,-
case_263,2026-03-05 10:31:20,NetworkConnect,usuario_15,D:\backup
case_263,2026-03-05 10:34:20,NetworkConnect,usuario_15,\Users\Public
case_263,2026-03-05 10:37:00,FileCreate,usuario_15,cdn.contoso.com
case_263,2026-03-05 10:39:41,ImageLoad,usuario_15,HKLM\Software
case_263,2026-03-05 10:46:02,FileCreate,usuario_15,-
case_263,2026-03-05 10:50:14,ProcessCreate,usuario_15,\\fileserver\rh
case_263,2026-03-05 10:51:57,FileModify,usuario_15,-
case_263,2026-03-05 10:53:22,FileRead,usuario_15,\\fileserver\financeiro
case_263,2026-03-05 10:53:50,ProcessExit,usuario_15,\Users\Public
case_263,2026-03-05 10:54:36,ServiceQuery,usuario_15,\\fileserver\financeiro
case_263,2026-03-05 10:59:38,PowerShellExec,usuario_15,cdn.contoso.com
case_263,2026-03-05 11:03:06,PowerShellExec,usuario_15,C:\temp
case_263,2026-03-05 11:06:07,FileRead,usuario_15,\Users\Documents
case_263,2026-03-05 11:09:39,RemoteThread,usuario_15,update.microsoft.com
case_263,2026-03-05 11:10:12,WmiQuery,usuario_15,\Device\Pipe
case_263,2026-03-05 11:14:14,LogonOff,usuario_15,\Device\Pipe
case_229,2026-03-06 10:49:08,LogonSuccess,usuario_01,D:\backup
case_229,2026-03-06 10:50:58,NetworkConnect,usuario_01,cdn.contoso.com
case_229,2026-03-06 10:55:34,ProcessCreate,usuario_01,\Device\Pipe
case_229,2026-03-06 10:56:50,DnsQuery,usuario_01,D:\backup
case_229,2026-03-06 11:02:19,FileModify,usuario_01,\\fileserver\financeiro
case_229,2026-03-06 11:04:00,NetworkConnect,usuario_01,HKLM\Software
case_229,2026-03-06 11:08:16,RegistryModify,usuario_01,\Users\Documents
case_229,2026-03-06 11:09:11,ImageLoad,usuario_01,\Windows\System32
case_229,2026-03-06 11:09:47,FileRead,usuario_01,\Device\Pipe
case_229,2026-03-06 11:15:53,RegistryModify,usuario_01,8.8.8.8
case_229,2026-03-06 11:20:39,FileModify,usuario_01,cdn.contoso.com
case_229,2026-03-06 11:24:16,FileRead,usuario_01,\Users\Public
case_229,2026-03-06 11:28:09,FileModify,usuario_01,\\fileserver\rh
case_229,2026-03-06 11:34:35,ScheduledTaskQuery,usuario_01,update.microsoft.com
case_229,2026-03-06 11:35:56,WmiQuery,usuario_01,\Users\Documents
case_229,2026-03-06 11:41:26,ScreenCapture,usuario_01,\Device\Pipe
case_229,2026-03-06 11:46:19,LogonOff,usuario_01,\Users\Documents
case_272,2026-03-02 13:20:03,LogonSuccess,usuario_13,\\fileserver\financeiro
case_272,2026-03-02 13:22:18,ProcessCreate,usuario_13,\\fileserver\rh
case_272,2026-03-02 13:26:06,FileCreate,usuario_13,\Windows\System32
case_272,2026-03-02 13:30:07,ProcessExit,usuario_13,\Windows\System32
case_272,2026-03-02 13:33:11,DnsQuery,usuario_13,D:\backup
case_272,2026-03-02 13:36:53,ProcessExit,usuario_13,\Windows\System32
case_272,2026-03-02 13:38:51,ProcessCreate,usuario_13,\Device\Pipe
case_272,2026-03-02 13:45:22,ServiceQuery,usuario_13,\\fileserver\financeiro
case_272,2026-03-02 13:49:02,ProcessExit,usuario_13,cdn.contoso.com
case_272,2026-03-02 13:54:32,PipeCreate,usuario_13,HKLM\Software
case_272,2026-03-02 13:55:57,PowerShellExec,usuario_13,cdn.contoso.com
case_272,2026-03-02 14:01:31,FileRead,usuario_13,D:\backup
case_272,2026-03-02 14:06:11,FileModify,usuario_13,8.8.8.8
case_272,2026-03-02 14:12:01,ScheduledTaskQuery,usuario_13,D:\backup
case_272,2026-03-02 14:17:46,PrintJob,usuario_13,C:\temp
case_272,2026-03-02 14:20:09,LogonOff,usuario_13,-
case_231,2026-03-05 17:33:57,LogonSuccess,usuario_13,-
case_231,2026-03-05 17:40:30,NetworkConnect,usuario_13,D:\backup
case_231,2026-03-05 17:41:51,FileCreate,usuario_13,\Device\Pipe
case_231,2026-03-05 17:43:51,FileCreate,usuario_13,\\fileserver\financeiro
case_231,2026-03-05 17:48:26,FileRead,usuario_13,cdn.contoso.com
case_231,2026-03-05 17:53:37,FileRead,usuario_13,\Device\Pipe
case_231,2026-03-05 17:54:03,FileModify,usuario_13,\Users\Documents
case_231,2026-03-05 17:58:51,PrintJob,usuario_13,HKLM\Software
case_231,2026-03-05 18:05:30,DriverLoad,usuario_13,HKLM\Software
case_231,2026-03-05 18:08:56,LogonOff,usuario_13,\Device\Pipe
case_066,2026-03-06 12:58:22,LogonSuccess,usuario_19,cdn.contoso.com
case_066,2026-03-06 12:59:49,ProcessCreate,usuario_19,\Device\Pipe
case_066,2026-03-06 13:01:37,ImageLoad,usuario_19,-
case_066,2026-03-06 13:02:01,ProcessCreate,usuario_19,HKLM\Software
case_066,2026-03-06 13:04:30,ProcessCreate,usuario_19,-
case_066,2026-03-06 13:07:26,ServiceQuery,usuario_19,\Users\Documents
case_066,2026-03-06 13:13:49,PowerShellExec,usuario_19,\Device\Pipe
case_066,2026-03-06 13:16:29,ServiceQuery,usuario_19,8.8.8.8
case_066,2026-03-06 13:20:01,PipeCreate,usuario_19,\\fileserver\financeiro
case_066,2026-03-06 13:24:16,LogonOff,usuario_19,\\fileserver\rh
case_108,2026-03-02 10:42:52,LogonSuccess,usuario_02,\\fileserver\financeiro
case_108,2026-03-02 10:43:57,FileCreate,usuario_02,-
case_108,2026-03-02 10:44:21,ProcessCreate,usuario_02,-
case_108,2026-03-02 10:49:02,ProcessExit,usuario_02,8.8.8.8
case_108,2026-03-02 10:50:27,ProcessExit,usuario_02,\\fileserver\rh
case_108,2026-03-02 10:51:18,NetworkConnect,usuario_02,\\fileserver\financeiro
case_108,2026-03-02 10:56:19,FileRead,usuario_02,\Windows\System32
case_108,2026-03-02 10:56:39,ClipboardCapture,usuario_02,\Users\Documents
case_108,2026-03-02 11:01:45,ScheduledTaskQuery,usuario_02,\\fileserver\financeiro
case_108,2026-03-02 11:03:01,LogonOff,usuario_02,\\fileserver\rh
case_196,2026-03-05 10:00:38,LogonSuccess,usuario_07,D:\backup
case_196,2026-03-05 10:02:42,FileCreate,usuario_07,\\fileserver\financeiro
case_196,2026-03-05 10:08:28,FileCreate,usuario_07,\\fileserver\rh
case_196,2026-03-05 10:14:49,ImageLoad,usuario_07,-
case_196,2026-03-05 10:17:36,DnsQuery,usuario_07,\Users\Documents
